open: ,18.600000000000001,    high: ,19.25,   low: ,18.550001000000002,  yester close: ,1.2120299999999999, volume: ,33573400,up
open: ,18.66,    high: ,19.170000000000002,   low: ,17.960001000000002,  yester close: ,1.214621, volume: ,50374800,up
open: ,19.079999000000001,    high: ,19.390000000000001,   low: ,18.709999,  yester close: ,1.2547840000000001, volume: ,56168000,up
open: ,19.589998999999999,    high: ,19.899999999999999,   low: ,19.149998999999998,  yester close: ,1.2703309999999999, volume: ,55287400,down
open: ,19.449999999999999,    high: ,19.899999999999999,   low: ,19.23,  yester close: ,1.2599670000000001, volume: ,53257400,down
open: ,19.27,    high: ,19.289998999999998,   low: ,18.400001,  yester close: ,1.228872, volume: ,57666000,up
open: ,18.999998999999999,    high: ,20.050000000000001,   low: ,18.960000000000001,  yester close: ,1.295596, volume: ,83147400,down
open: ,19.82,    high: ,20.199999999999999,   low: ,19.500001000000001,  yester close: ,1.2651490000000001, volume: ,69146000,up
open: ,19.609999999999999,    high: ,19.799999,   low: ,19.260000000000002,  yester close: ,1.2748660000000001, volume: ,50395800,up
open: ,19.710001000000002,    high: ,19.949998999999998,   low: ,19.570001000000001,  yester close: ,1.285231, volume: ,15001000,up
open: ,19.940001000000002,    high: ,21.549999,   low: ,19.879998999999998,  yester close: ,1.384344, volume: ,115172400,down
open: ,21.199999999999999,    high: ,21.52,   low: ,20.5,  yester close: ,1.3603749999999999, volume: ,67138400,down
open: ,20.850000000000001,    high: ,21.210000000000001,   low: ,20.41,  yester close: ,1.3299290000000001, volume: ,62652800,down
open: ,20.599999,    high: ,20.699999999999999,   low: ,20.190000000000001,  yester close: ,1.3228030000000002, volume: ,50691200,up
open: ,20.469999999999999,    high: ,21.440000000000001,   low: ,20.25,  yester close: ,1.3798090000000001, volume: ,75978000,down
open: ,21.059999999999999,    high: ,21.280000000000001,   low: ,20.599999,  yester close: ,1.3636139999999999, volume: ,45291400,up
open: ,21.049999,    high: ,22.560001,   low: ,20.719999999999999,  yester close: ,1.4510670000000001, volume: ,95104800,up
